,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Zhanaozen,64,KZ,1569354708,49,43.35,52.85,61.12,13.31
1,Bredasdorp,40,ZA,1569354690,67,-34.53,20.04,60.8,18.34
2,Mamallapuram,75,IN,1569354711,88,12.63,80.17,84.0,4.7
3,Rikitea,84,PF,1569354522,70,-23.12,-134.97,69.94,6.62
4,Kavieng,86,PG,1569354285,70,-2.57,150.8,83.8,6.98
5,Mataura,100,NZ,1569354529,92,-46.19,168.86,39.99,4.0
6,Victoria,75,BN,1569354224,66,5.28,115.24,84.2,10.29
7,Peniche,20,PT,1569354331,82,39.36,-9.38,68.0,6.93
8,Vaini,100,IN,1569354554,96,15.34,74.49,74.98,2.98
9,Yantal,0,RU,1569354718,93,56.85,105.25,37.36,3.6
10,Sam Chuk,58,TH,1569354719,98,14.75,100.09,81.0,3.87
11,Albany,75,US,1569354487,77,42.65,-73.75,68.0,9.17
12,Tomatlan,27,MX,1569354721,79,19.93,-105.25,84.52,9.84
13,Alofi,100,NU,1569354152,68,-19.06,-169.92,71.6,9.17
14,Salihorsk,2,BY,1569354724,67,52.79,27.54,37.72,6.22
15,Punta Arenas,40,CL,1569354542,50,-53.16,-70.91,53.6,27.51
16,Darhan,48,MN,1569354726,67,49.49,105.92,53.38,0.51
17,Ushuaia,40,AR,1569354433,57,-54.81,-68.31,53.6,36.91
18,Lahij,68,YE,1569354728,44,13.06,44.88,90.28,1.72
19,Mbandaka,100,CD,1569354729,87,0.05,18.26,76.06,2.86
20,Touros,0,BR,1569354550,58,-5.2,-35.46,82.4,13.87
21,Iqaluit,40,CA,1569354188,69,63.75,-68.52,39.2,4.7
22,Sao Filipe,100,CV,1569354448,82,14.9,-24.5,81.46,4.79
23,Severo-Kurilsk,100,RU,1569354638,88,50.68,156.12,49.6,21.07
24,Tasiilaq,75,GL,1569354595,93,65.61,-37.64,42.8,2.24
25,Castro,0,CL,1569354736,67,-42.48,-73.76,62.6,8.05
26,Pangnirtung,90,CA,1569354737,100,66.15,-65.72,37.4,11.41
27,Arraial do Cabo,75,BR,1569354669,53,-22.97,-42.02,71.6,18.34
28,Hithadhoo,100,MV,1569354739,89,-0.6,73.08,77.32,20.98
29,Cidreira,0,BR,1569354411,77,-30.17,-50.22,62.56,9.24
30,Tucurui,58,BR,1569354562,41,-3.77,-49.67,90.46,2.44
31,Kutoarjo,62,ID,1569354743,91,-7.72,109.9,71.2,1.66
32,Xiaoyi,0,CN,1569354744,48,37.15,111.77,49.24,2.33
33,Cabo San Lucas,5,MX,1569354566,62,22.89,-109.91,91.0,10.29
34,Hermanus,0,ZA,1569354520,81,-34.42,19.24,64.99,15.01
35,Mar del Plata,0,AR,1569354519,29,-46.43,-67.52,67.96,11.61
36,Bethel,90,US,1569354681,93,60.79,-161.76,39.2,9.17
37,Olinda,100,AU,1569354503,93,-37.84,145.39,50.0,6.93
38,Georgetown,75,GY,1569354299,70,6.8,-58.16,91.4,11.41
39,Nikolskoye,0,RU,1569354625,69,59.7,30.79,39.2,4.47
40,Bluff,88,AU,1569354574,86,-23.58,149.07,65.62,8.77
41,Cape Town,0,ZA,1569354425,63,-33.93,18.42,64.0,3.36
42,Avarua,0,CK,1569354642,60,-21.21,-159.78,71.6,9.17
43,Mahebourg,40,MU,1569354641,94,-20.41,57.7,71.6,3.36
44,Dikson,100,RU,1569354652,92,73.51,80.55,37.54,20.78
45,Namibe,93,AO,1569354295,88,-15.19,12.15,69.22,5.39
46,Sulangan,28,PH,1569354758,80,11.14,123.72,82.36,11.16
47,Bandarbeyla,51,SO,1569354346,64,9.49,50.81,77.86,16.55
48,Rocha,0,UY,1569354506,79,-34.48,-54.34,58.78,3.96
49,Kaitangata,100,NZ,1569354762,70,-46.28,169.85,43.0,8.99
50,Tornio,90,FI,1569354763,75,61.12,27.27,41.0,3.36
51,Kirs,98,RU,1569354764,93,59.34,52.24,33.4,7.49
52,Jamestown,0,AU,1569354599,88,-33.21,138.6,44.02,8.25
53,Burnie,53,AU,1569354767,94,-41.05,145.91,42.94,3.51
54,New Norfolk,75,AU,1569354541,81,-42.78,147.06,44.01,4.7
55,Vila,0,IT,1569354399,87,45.18,8.4,66.99,5.82
56,Kapaa,40,US,1569354528,74,22.08,-159.32,82.99,10.29
57,Coquimbo,0,CL,1569354771,62,-29.95,-71.34,59.0,12.75
58,Aanekoski,90,FI,1569354772,93,62.6,25.73,37.4,2.24
59,Tuktoyaktuk,90,CA,1569354637,86,69.44,-133.03,37.4,2.24
60,General Roca,0,AR,1569354774,20,-39.03,-67.58,82.4,6.93
61,Butaritari,15,KI,1569354776,70,3.07,172.79,85.24,10.76
62,Vieux-Habitants,75,GP,1569354777,89,16.06,-61.77,84.2,10.29
63,Hualmay,31,PE,1569354778,93,-11.1,-77.61,61.84,12.5
64,Geraldton,75,CA,1569354558,43,49.72,-86.95,73.4,14.99
65,Tautira,40,PF,1569354604,69,-17.73,-149.15,82.4,3.36
66,Hobart,75,AU,1569354312,81,-42.88,147.33,44.01,4.7
67,Yellowknife,20,CA,1569354782,65,62.45,-114.38,44.6,16.11
68,Cherskiy,0,RU,1569354784,77,68.75,161.3,28.72,4.88
69,Uglich,45,RU,1569354785,93,57.53,38.32,31.96,5.28
70,Liverpool,40,GB,1569354786,87,53.41,-2.98,60.8,6.93
71,Ponta do Sol,48,BR,1569354337,86,-20.63,-46.0,65.44,5.53
72,Busselton,52,AU,1569354613,74,-33.64,115.35,57.0,15.41
73,Varhaug,75,NO,1569354794,67,58.61,5.65,57.99,8.05
74,Qaanaaq,100,GL,1569354446,87,77.48,-69.36,22.78,7.63
75,Krasnozerskoye,0,RU,1569354797,67,53.98,79.24,39.7,8.39
76,Nome,40,US,1569354798,52,30.04,-94.42,90.0,5.82
77,Guerrero Negro,4,MX,1569354799,84,27.97,-114.04,69.58,10.67
78,Port Alfred,36,ZA,1569354556,66,-33.59,26.89,60.01,5.01
79,Puerto Ayora,20,EC,1569354801,57,-0.74,-90.35,80.6,13.87
80,Verkhnetulomskiy,75,RU,1569354802,80,68.61,31.8,39.2,8.95
81,Atuona,0,PF,1569354598,76,-9.8,-139.03,79.66,18.68
82,Umm Lajj,0,SA,1569354618,69,25.02,37.27,85.06,14.76
83,Hearst,38,CA,1569354806,52,49.69,-83.67,70.3,9.8
84,Hilo,90,US,1569354562,69,19.71,-155.08,82.4,4.7
85,Strathmore,20,CA,1569354808,47,51.04,-113.4,62.01,31.09
86,Morondava,0,MG,1569354809,74,-20.3,44.28,76.24,24.23
87,Ribeira Grande,20,PT,1569354587,64,38.52,-28.7,71.6,8.05
88,Nelson Bay,0,AU,1569354811,100,-32.72,152.14,51.01,8.05
89,Tokur,0,RU,1569354812,90,53.13,132.9,26.92,4.34
90,Katsuura,40,JP,1569354814,73,33.93,134.5,69.8,5.82
91,Bonavista,5,CA,1569354815,81,48.65,-53.11,46.99,5.99
92,Chokurdakh,0,RU,1569354816,83,70.62,147.9,24.4,7.05
93,Mhlume,100,SZ,1569354817,67,-26.03,31.81,63.0,6.8
94,Port Elizabeth,20,US,1569354580,36,39.31,-74.98,80.6,12.75
95,Jiuquan,0,CN,1569354820,24,39.73,98.49,58.42,3.58
96,Faanui,33,PF,1569354648,77,-16.48,-151.75,80.02,20.96
97,Khatanga,33,RU,1569354822,80,71.98,102.47,34.84,12.64
98,Nanortalik,100,GL,1569354823,77,60.14,-45.24,43.48,0.18
99,Yulara,47,AU,1569354824,93,-25.24,130.99,46.4,4.7
100,Carnarvon,0,ZA,1569354650,75,-30.97,22.13,48.16,19.48
101,Hopelchen,75,MX,1569354827,74,19.77,-89.85,87.8,6.93
102,Sao Joao da Barra,90,BR,1569354607,56,-21.64,-41.05,71.6,18.34
103,Mitu,0,IR,1569354829,43,36.2,46.09,48.16,3.83
104,Iranshahr,0,IR,1569354830,31,27.21,60.69,91.4,3.24
105,Saint George,75,GR,1569354314,93,39.45,22.34,66.2,3.36
